"","","","AIC_lambda","AICC_lambda","BIC_lambda"
"1",0.078,0.074,0.003,0.003,0.237
"2",0.09,0.075,0.003,0.078,0.218
"3",0.093,0.067,0.003,0.061,0.178
"4",0.086,0.078,0.003,0.068,0.274
"5",0.099,0.06,0.003,0.049,0.144
"6",0.08,0.058,0.003,0.073,0.14
"7",0.084,0.053,0.004,0.053,0.177
"8",0.081,0.07,0.003,0.058,0.155
"9",0.111,0.053,0.004,0.053,0.14
"10",0.091,0.075,0.002,0.003,0.183
"11",0.121,0.073,0.003,0.003,0.153
"12",0.095,0.055,0.003,0.057,0.126
"13",0.1,0.057,0.002,0.003,0.104
"14",0.082,0.082,0.002,0.003,0.208
"15",0.094,0.057,0.003,0.078,0.229
"16",0.152,0.087,0.002,0.003,0.152
"17",0.088,0.08,0.003,0.003,0.134
"18",0.089,0.051,0.004,0.059,0.098
"19",0.081,0.077,0.002,0.003,0.186
"20",0.106,0.106,0.001,0.003,0.106
